Year,Total_Volume_Mn,Total_Value_Cr,Avg_Txn_Value,Volume_YoY_Growth,Value_YoY_Growth
2016,10.76,3119.83,23834.62,,
2017,339.28,61519.67,24286.61,3052.7,1871.89
2018,3744.17,596308.0,15706.09,1003.55,869.3
2019,11335.16,1875600.0,16510.16,202.74,214.54
2020,17930.0,3136000.0,17120.5,58.18,67.2
2021,39745.0,7318000.0,18466.11,121.67,133.35
2022,75005.0,12786000.0,17135.61,88.72,74.72
2023,120185.0,18321000.0,15285.05,60.24,43.29
2024,176450.0,25362500.0,14405.5,46.82,38.43
2025,231750.0,30533000.0,13198.8,31.34,20.39
